# NACA 63-415 Standard profile with sharp trailing edge,
# x [-], y [-]
1,0
0.999981,7.00E-06
0.999924,2.60E-05
0.999829,5.30E-05
0.999695,9.00E-05
0.999524,0.000134
0.999315,0.000186
0.999067,0.000245
0.998782,0.000311
0.998459,0.000383
0.998097,0.000463
0.997698,0.000549
0.997261,0.000641
0.996786,0.00074
0.996273,0.000844
0.995722,0.000955
0.995134,0.001072
0.994508,0.001195
0.993844,0.001325
0.993143,0.00146
0.992404,0.001602
0.991627,0.001749
0.990814,0.001903
0.989962,0.002063
0.989074,0.002229
0.988148,0.002401
0.987185,0.002579
0.986185,0.002763
0.985148,0.002954
0.984074,0.003152
0.982963,0.003355
0.981815,0.003565
0.980631,0.003781
0.97941,0.004004
0.978152,0.004232
0.976858,0.004467
0.975528,0.00471
0.974162,0.004958
0.972759,0.005213
0.971321,0.005474
0.969846,0.005742
0.968336,0.006017
0.96679,0.006299
0.965209,0.006588
0.963592,0.006883
0.96194,0.007184
0.960252,0.007493
0.95853,0.007809
0.956773,0.008132
0.954981,0.008462
0.953154,0.008799
0.951293,0.009144
0.949397,0.009496
0.947467,0.009856
0.945503,0.010223
0.943505,0.010595
0.941474,0.010974
0.939409,0.011362
0.93731,0.011759
0.935178,0.012162
0.933013,0.012572
0.930815,0.012989
0.928584,0.013416
0.92632,0.013848
0.924024,0.014287
0.921696,0.014734
0.919335,0.01519
0.916943,0.015654
0.914519,0.016125
0.912063,0.016603
0.909576,0.01709
0.907058,0.017582
0.904508,0.018081
0.901928,0.018588
0.899318,0.019103
0.896677,0.019624
0.894005,0.020152
0.891304,0.020687
0.888573,0.021231
0.885812,0.021781
0.883022,0.022337
0.880203,0.022899
0.877355,0.023469
0.874478,0.024047
0.871572,0.024632
0.868639,0.025223
0.865677,0.025821
0.862687,0.026426
0.85967,0.027035
0.856625,0.027649
0.853553,0.028271
0.850455,0.028901
0.847329,0.029537
0.844177,0.030176
0.840999,0.030822
0.837795,0.031474
0.834565,0.032133
0.83131,0.032797
0.82803,0.033466
0.824724,0.03414
0.821394,0.03482
0.818039,0.035506
0.81466,0.036196
0.811257,0.03689
0.807831,0.037588
0.804381,0.038291
0.800908,0.039001
0.797411,0.039715
0.793893,0.040434
0.790352,0.041154
0.786788,0.041876
0.783203,0.042603
0.779597,0.043336
0.775968,0.044072
0.77232,0.044809
0.76865,0.045546
0.76496,0.046286
0.761249,0.04703
0.757519,0.047777
0.753769,0.048524
0.75,0.049273
0.746212,0.050026
0.742405,0.050778
0.738579,0.051528
0.734736,0.052281
0.730874,0.053036
0.726995,0.053794
0.723099,0.054549
0.719186,0.055302
0.715256,0.056055
0.711309,0.056811
0.707347,0.057566
0.703368,0.058316
0.699375,0.059064
0.695366,0.059815
0.691342,0.060565
0.687303,0.06131
0.683251,0.062052
0.679184,0.062792
0.675104,0.063531
0.67101,0.064268
0.666903,0.065001
0.662784,0.06573
0.658652,0.066455
0.654509,0.067176
0.650353,0.067893
0.646186,0.068608
0.642008,0.06932
0.637819,0.070024
0.633619,0.070722
0.62941,0.071415
0.62519,0.072104
0.620961,0.072787
0.616723,0.073463
0.612476,0.074131
0.60822,0.074793
0.603956,0.07545
0.599684,0.076102
0.595405,0.076746
0.591118,0.077381
0.586824,0.078006
0.582524,0.078624
0.578217,0.079238
0.573905,0.079846
0.569587,0.08044
0.565263,0.081026
0.560935,0.081605
0.556602,0.082175
0.552264,0.082735
0.547923,0.083288
0.543578,0.083833
0.53923,0.084367
0.534878,0.08489
0.530524,0.085403
0.526168,0.085907
0.52181,0.086399
0.51745,0.08688
0.513089,0.087351
0.508726,0.087815
0.504363,0.088266
0.5,0.088704
0.495637,0.08913
0.491274,0.089545
0.486912,0.089948
0.48255,0.09034
0.47819,0.09072
0.473832,0.091086
0.469476,0.091439
0.465122,0.09178
0.46077,0.092108
0.456422,0.092421
0.452077,0.092721
0.447736,0.09301
0.443398,0.093283
0.439065,0.093542
0.434737,0.09379
0.430413,0.094024
0.426095,0.094242
0.421783,0.094446
0.417476,0.094634
0.413176,0.094808
0.408882,0.094966
0.404596,0.095109
0.400316,0.09524
0.396044,0.095357
0.39178,0.095456
0.387524,0.095538
0.383277,0.095606
0.379039,0.095659
0.37481,0.095696
0.370591,0.095717
0.366381,0.095724
0.362181,0.095719
0.357992,0.095698
0.353814,0.095659
0.349647,0.095604
0.345492,0.095534
0.341348,0.095449
0.337216,0.09535
0.333097,0.095238
0.32899,0.095109
0.324896,0.094963
0.320816,0.094805
0.316749,0.094633
0.312697,0.094446
0.308658,0.094244
0.304634,0.094027
0.300626,0.093797
0.296632,0.093555
0.292653,0.093296
0.288691,0.093026
0.284745,0.092747
0.280814,0.092453
0.276901,0.092144
0.273005,0.091823
0.269126,0.091491
0.265264,0.091146
0.261421,0.090789
0.257595,0.09042
0.253788,0.090042
0.25,0.089653
0.246231,0.089252
0.242481,0.08884
0.238751,0.088419
0.23504,0.087989
0.23135,0.087548
0.227681,0.087096
0.224032,0.086632
0.220404,0.086157
0.216797,0.085674
0.213212,0.085184
0.209649,0.084683
0.206107,0.084171
0.202589,0.083647
0.199093,0.083114
0.195619,0.082573
0.192169,0.082024
0.188743,0.081466
0.18534,0.080896
0.181961,0.080318
0.178606,0.079735
0.175276,0.079142
0.17197,0.078539
0.16869,0.077928
0.165435,0.077309
0.162205,0.076683
0.159001,0.076047
0.155823,0.075403
0.152671,0.074751
0.149545,0.074095
0.146447,0.073434
0.143375,0.072765
0.14033,0.072086
0.137313,0.071401
0.134323,0.070712
0.131361,0.070015
0.128428,0.069312
0.125522,0.068604
0.122645,0.067891
0.119797,0.06717
0.116978,0.066444
0.114188,0.065714
0.111427,0.064979
0.108696,0.064239
0.105995,0.063493
0.103323,0.062742
0.100682,0.061986
0.098072,0.061227
0.095491,0.060463
0.092942,0.059694
0.090424,0.058919
0.087937,0.058142
0.085481,0.057363
0.083057,0.05658
0.080665,0.055792
0.078304,0.054998
0.075976,0.054203
0.07368,0.053406
0.071416,0.052605
0.069185,0.0518
0.066987,0.050993
0.064822,0.050182
0.06269,0.049368
0.060591,0.048552
0.058526,0.047732
0.056495,0.046911
0.054497,0.046085
0.052533,0.045258
0.050603,0.044429
0.048707,0.043597
0.046846,0.042762
0.045019,0.041925
0.043227,0.041089
0.04147,0.040252
0.039748,0.039414
0.03806,0.038576
0.036408,0.037737
0.034791,0.036899
0.03321,0.036064
0.031664,0.035232
0.030154,0.034401
0.028679,0.033572
0.027241,0.032745
0.025838,0.031922
0.024472,0.031104
0.023142,0.030289
0.021848,0.029477
0.02059,0.028668
0.019369,0.027864
0.018185,0.027065
0.017037,0.026268
0.015926,0.025476
0.014852,0.024685
0.013815,0.023899
0.012815,0.023114
0.011852,0.022332
0.010926,0.021553
0.010038,0.020776
0.009186,0.020003
0.008373,0.019231
0.007596,0.018462
0.006857,0.017695
0.006156,0.016933
0.005492,0.016174
0.004866,0.015419
0.004278,0.014672
0.003727,0.01393
0.003214,0.013195
0.002739,0.012469
0.002302,0.011756
0.001903,0.011056
0.001541,0.010371
0.001218,0.009706
0.000933,0.009065
0.000685,0.008458
0.000476,0.007892
0.000305,0.007383
0.000171,0.006947
7.60E-05,0.006608
1.90E-05,0.006391
0,0
1.90E-05,-5.10E-05
7.60E-05,-0.000203
0.000171,-0.000452
0.000305,-0.000815
0.000476,-0.001313
0.000685,-0.001894
0.000933,-0.002527
0.001218,-0.003199
0.001541,-0.003889
0.001903,-0.004588
0.002302,-0.005291
0.002739,-0.005994
0.003214,-0.006693
0.003727,-0.007386
0.004278,-0.008073
0.004866,-0.008753
0.005492,-0.009424
0.006156,-0.010087
0.006857,-0.010741
0.007596,-0.011388
0.008373,-0.012027
0.009186,-0.012656
0.010038,-0.013278
0.010926,-0.013892
0.011852,-0.014499
0.012815,-0.015098
0.013815,-0.015688
0.014852,-0.016272
0.015926,-0.016848
0.017037,-0.01742
0.018185,-0.017985
0.019369,-0.018545
0.02059,-0.0191
0.021848,-0.019652
0.023142,-0.0202
0.024472,-0.020745
0.025838,-0.021287
0.027241,-0.021829
0.028679,-0.02237
0.030154,-0.022909
0.031664,-0.023446
0.03321,-0.023983
0.034791,-0.02452
0.036408,-0.025056
0.03806,-0.025589
0.039748,-0.02612
0.04147,-0.02665
0.043227,-0.027179
0.045019,-0.027707
0.046846,-0.028231
0.048707,-0.028751
0.050603,-0.029267
0.052533,-0.029781
0.054497,-0.030293
0.056495,-0.030799
0.058526,-0.031301
0.060591,-0.031798
0.06269,-0.032291
0.064822,-0.03278
0.066987,-0.033264
0.069185,-0.033744
0.071416,-0.03422
0.07368,-0.034691
0.075976,-0.035158
0.078304,-0.035621
0.080665,-0.036079
0.083057,-0.036534
0.085481,-0.036985
0.087937,-0.037433
0.090424,-0.037877
0.092942,-0.038314
0.095491,-0.038747
0.098072,-0.039178
0.100682,-0.039606
0.103323,-0.040029
0.105995,-0.040446
0.108696,-0.040859
0.111427,-0.041269
0.114188,-0.041674
0.116978,-0.042074
0.119797,-0.042468
0.122645,-0.042859
0.125522,-0.043245
0.128428,-0.043628
0.131361,-0.044005
0.134323,-0.044377
0.137313,-0.044744
0.14033,-0.045107
0.143375,-0.045464
0.146447,-0.045817
0.149545,-0.046165
0.152671,-0.046506
0.155823,-0.04684
0.159001,-0.04717
0.162205,-0.047496
0.165435,-0.047818
0.16869,-0.048133
0.17197,-0.048439
0.175276,-0.04874
0.178606,-0.049036
0.181961,-0.049325
0.18534,-0.049605
0.188743,-0.049879
0.192169,-0.050149
0.195619,-0.050413
0.199093,-0.050668
0.202589,-0.050916
0.206107,-0.051158
0.209649,-0.051394
0.213212,-0.051623
0.216797,-0.051843
0.220404,-0.052054
0.224032,-0.052257
0.227681,-0.052457
0.23135,-0.052651
0.23504,-0.052835
0.238751,-0.05301
0.242481,-0.053176
0.246231,-0.053337
0.25,-0.053491
0.253788,-0.053638
0.257595,-0.053776
0.261421,-0.053906
0.265264,-0.05403
0.269126,-0.054146
0.273005,-0.054252
0.276901,-0.054349
0.280814,-0.054438
0.284745,-0.054518
0.288691,-0.054587
0.292653,-0.054644
0.296632,-0.054695
0.300626,-0.054739
0.304634,-0.05477
0.308658,-0.054791
0.312697,-0.054803
0.316749,-0.054804
0.320816,-0.054793
0.324896,-0.05477
0.32899,-0.054739
0.333097,-0.054698
0.337216,-0.054642
0.341348,-0.054574
0.345492,-0.054498
0.349647,-0.054411
0.353814,-0.054312
0.357992,-0.054203
0.362181,-0.05408
0.366381,-0.053943
0.370591,-0.053796
0.37481,-0.05364
0.379039,-0.053474
0.383277,-0.053295
0.387524,-0.053105
0.39178,-0.052904
0.396044,-0.052692
0.400316,-0.052466
0.404596,-0.052228
0.408882,-0.051982
0.413176,-0.051727
0.417476,-0.05146
0.421783,-0.051182
0.426095,-0.050893
0.430413,-0.050594
0.434737,-0.050284
0.439065,-0.049964
0.443398,-0.049636
0.447736,-0.049299
0.452077,-0.048952
0.456422,-0.048596
0.46077,-0.048233
0.465122,-0.047859
0.469476,-0.047476
0.473832,-0.047086
0.47819,-0.046688
0.48255,-0.04628
0.486912,-0.045864
0.491274,-0.045442
0.495637,-0.045012
0.5,-0.044577
0.504363,-0.044134
0.508726,-0.043682
0.513089,-0.043223
0.51745,-0.04276
0.52181,-0.042293
0.526168,-0.041819
0.530524,-0.041339
0.534878,-0.040853
0.53923,-0.040362
0.543578,-0.039865
0.547923,-0.039363
0.552264,-0.038857
0.556602,-0.038349
0.560935,-0.037835
0.565263,-0.037316
0.569587,-0.036797
0.573905,-0.036272
0.578217,-0.03574
0.582524,-0.035207
0.586824,-0.034675
0.591118,-0.034138
0.595405,-0.033597
0.599684,-0.033052
0.603956,-0.032505
0.60822,-0.031957
0.612476,-0.031409
0.616723,-0.030859
0.620961,-0.030305
0.62519,-0.02975
0.62941,-0.029194
0.633619,-0.028638
0.637819,-0.028082
0.642008,-0.027523
0.646186,-0.026962
0.650353,-0.026404
0.654509,-0.025848
0.658652,-0.025292
0.662784,-0.024737
0.666903,-0.024182
0.67101,-0.023627
0.675104,-0.023074
0.679184,-0.022523
0.683251,-0.021976
0.687303,-0.02143
0.691342,-0.020885
0.695366,-0.02034
0.699375,-0.019801
0.703368,-0.019268
0.707347,-0.018735
0.711309,-0.018201
0.715256,-0.017674
0.719186,-0.017153
0.723099,-0.016634
0.726995,-0.016117
0.730874,-0.015603
0.734736,-0.015097
0.738579,-0.014597
0.742405,-0.0141
0.746212,-0.013606
0.75,-0.013117
0.753769,-0.012635
0.757519,-0.012158
0.761249,-0.011686
0.76496,-0.011221
0.76865,-0.010763
0.77232,-0.010309
0.775968,-0.009859
0.779597,-0.009415
0.783203,-0.008979
0.786788,-0.008551
0.790352,-0.00813
0.793893,-0.007714
0.797411,-0.007304
0.800908,-0.006901
0.804381,-0.006506
0.807831,-0.006121
0.811257,-0.005743
0.81466,-0.005371
0.818039,-0.005006
0.821394,-0.004648
0.824724,-0.0043
0.82803,-0.003959
0.83131,-0.003626
0.834565,-0.003299
0.837795,-0.002981
0.840999,-0.002673
0.844177,-0.002372
0.847329,-0.002078
0.850455,-0.001791
0.853553,-0.001513
0.856625,-0.001246
0.85967,-0.000985
0.862687,-0.000731
0.865677,-0.000484
0.868639,-0.000246
0.871572,-1.60E-05
0.874478,0.000207
0.877355,0.00042
0.880203,0.000625
0.883022,0.000821
0.885812,0.001011
0.888573,0.001193
0.891304,0.001367
0.894005,0.001532
0.896677,0.001689
0.899318,0.001839
0.901928,0.001982
0.904508,0.002117
0.907058,0.002243
0.909576,0.002363
0.912063,0.002477
0.914519,0.002582
0.916943,0.002679
0.919335,0.00277
0.921696,0.002853
0.924024,0.002927
0.92632,0.002994
0.928584,0.003055
0.930815,0.00311
0.933013,0.003157
0.935178,0.003197
0.93731,0.003232
0.939409,0.003261
0.941474,0.003282
0.943505,0.003295
0.945503,0.003304
0.947467,0.003308
0.949397,0.003307
0.951293,0.0033
0.953154,0.003287
0.954981,0.003268
0.956773,0.003245
0.95853,0.003216
0.960252,0.003183
0.96194,0.003144
0.963592,0.003101
0.965209,0.003055
0.96679,0.003005
0.968336,0.00295
0.969846,0.002892
0.971321,0.002829
0.972759,0.002764
0.974162,0.002696
0.975528,0.002625
0.976858,0.002551
0.978152,0.002474
0.97941,0.002395
0.980631,0.002313
0.981815,0.00223
0.982963,0.002145
0.984074,0.002059
0.985148,0.001971
0.986185,0.001882
0.987185,0.001791
0.988148,0.001699
0.989074,0.001608
0.989962,0.001516
0.990814,0.001424
0.991627,0.001333
0.992404,0.001242
0.993143,0.001151
0.993844,0.001062
0.994508,0.000974
0.995134,0.000887
0.995722,0.000803
0.996273,0.00072
0.996786,0.00064
0.997261,0.000562
0.997698,0.000488
0.998097,0.000417
0.998459,0.00035
0.998782,0.000287
0.999067,0.000229
0.999315,0.000176
0.999524,0.000128
0.999695,8.70E-05
0.999829,5.20E-05
0.999924,2.50E-05
0.999981,7.00E-06
1,0
